rank,adp,name,pos,fantrax_id
1,1.51,"Haaland, Erling",F,061vq
2,1.82,"Borges Fernandes, Bruno Miguel",M,05gcr
3,3.71,"Saka, Bukayo",F,04y92
4,5.27,"Semenyo, Antoine",F,068y0
5,6.68,"Szoboszlai, Dominik",M,06cmm
6,8.83,"Wirtz, Florian",M,06v21
7,9.45,"Palmer, Cole",M,05l8q
8,10.66,"Junqueira de Jesus, Joao Pedro",F,05g2o
9,12.23,"Gibbs-White, Morgan",M,04qr9
10,12.56,"Santos Carneiro Da Cunha, Matheus",F,067yz
11,12.82,"Isak, Alexander",F,0646f
12,13.25,"Rice, Declan",M,04agz
13,13.54,"Cherki, Rayan",M,06v07
14,14.67,"Doku, Jeremy",F,06fup
15,16.98,"Rogers, Morgan",F,05uht
16,18.65,"Nascimento Rodrigues, Igor Thiago",F,06mn0
17,19.44,"Mbeumo, Bryan",F,05trb
18,22.17,"Simplício Rocha, Rayan Vitor",F,072wq
19,23.85,"dos Santos Magalhaes, Gabriel",D,05nzu
20,24.39,"Watkins, Ollie",F,05ocl
21,25.41,"Guimaraes Rodriguez Moura, Bruno",M,05ylj
22,25.51,"Munoz, Daniel",D,06jgi
23,26.47,"Stach, Anton",M,06zbx
24,27.45,"Gakpo, Cody",F,067yv
25,27.79,"Fernandez, Enzo",M,068ym
26,28.79,"Odegaard, Martin",M,05r9b
27,29.25,"van Dijk, Virgil",D,03vlj
28,30.24,"Porro, Pedro",D,05n07
29,32.17,"Anderson, Elliot",M,05opj
30,35.94,"Gyökeres, Viktor",F,04tsb
31,35.96,"Tarkowski, James",D,0427d
32,36.46,"Kudus, Mohammed",M,06fv8
33,37.32,"Ndiaye, Iliman",F,05r94
34,38.82,"Gross, Pascal",M,04fk1
35,39.34,"Guehi, Marc",D,050jq
36,43.05,"Tavernier, Marcus",M,0639x
37,43.78,"Foden, Phil",M,04abb
38,44.16,"O'Reilly, Nico",M,067x8
39,46.06,"Minteh, Yankuba",F,06c6g
40,46.44,"Sarr, Ismaila",F,05748
41,48.96,"Garner, James",M,04spw
42,49.68,"Lomba Neto, Pedro",F,056iy
43,50.76,"Wilson, Harry",F,03rxs
44,50.77,"Sesko, Benjamin",F,06zxy
45,50.94,"Le Fée, Enzo",M,06v0p
46,51.51,"Calvert-Lewin, Dominic",F,049tq
47,51.97,"Dorgu, Patrick",D,06rlj
48,52.66,"Ouattara, Dango",F,068lx
49,54.03,"Dewsbury-Hall, Kiernan",M,05gcc
50,54.86,"Tielemans, Youri",M,04yo7
51,57.59,"Williams, Neco",D,05a6e
52,60.93,"Nunes, Matheus Luiz",M,063zi
53,62.26,"Diallo, Amad",F,05r34
54,63.68,"Solanke, Dominic",F,03fgo
55,64.52,"James, Reece",D,051k7
56,65.11,"Eze, Eberechi",M,05nt6
57,65.15,"Truffert, Adrien",D,06uyc
58,65.42,"Mateta, Jean-Philippe",F,05r8o
59,66.77,"Timber, Jurrien",D,06dmj
60,67.43,"Robinson, Antonee",D,03rzp
61,68.15,"Hill, James",D,061vb
62,68.41,"Gvardiol, Josko",D,06ex4
