week,matchup,roster_a,team_a,roster_b,team_b,changed
1,1,1,"willmoran",11,"mdropkin",1
1,2,2,"skoeiboy",6,"bjennings28",0
1,3,3,"Flabiano9",10,"erozier",1
1,4,4,"benditlikebergvall",7,"rmeernst",1
1,5,5,"brendog2814",9,"JordiCarb",1
1,6,8,"cstoney20",12,"Noahvillasana17",1
2,1,1,"willmoran",2,"skoeiboy",0
2,2,3,"Flabiano9",7,"rmeernst",0
2,3,4,"benditlikebergvall",9,"JordiCarb",0
2,4,5,"brendog2814",12,"Noahvillasana17",0
2,5,6,"bjennings28",10,"erozier",0
2,6,8,"cstoney20",11,"mdropkin",0
3,1,1,"willmoran",10,"erozier",0
3,2,2,"skoeiboy",3,"Flabiano9",0
3,3,4,"benditlikebergvall",5,"brendog2814",0
3,4,6,"bjennings28",11,"mdropkin",0
3,5,7,"rmeernst",8,"cstoney20",1
3,6,9,"JordiCarb",12,"Noahvillasana17",1
4,1,1,"willmoran",6,"bjennings28",0
4,2,2,"skoeiboy",9,"JordiCarb",0
4,3,3,"Flabiano9",4,"benditlikebergvall",1
4,4,5,"brendog2814",8,"cstoney20",1
4,5,7,"rmeernst",10,"erozier",1
4,6,11,"mdropkin",12,"Noahvillasana17",0
5,1,1,"willmoran",9,"JordiCarb",1
5,2,2,"skoeiboy",5,"brendog2814",0
5,3,3,"Flabiano9",6,"bjennings28",0
5,4,4,"benditlikebergvall",12,"Noahvillasana17",0
5,5,7,"rmeernst",8,"cstoney20",0
5,6,10,"erozier",11,"mdropkin",1
6,1,1,"willmoran",3,"Flabiano9",0
6,2,2,"skoeiboy",8,"cstoney20",0
6,3,4,"benditlikebergvall",11,"mdropkin",0
6,4,5,"brendog2814",10,"erozier",0
6,5,6,"bjennings28",9,"JordiCarb",0
6,6,7,"rmeernst",12,"Noahvillasana17",0
7,1,1,"willmoran",4,"benditlikebergvall",1
7,2,2,"skoeiboy",12,"Noahvillasana17",0
7,3,3,"Flabiano9",11,"mdropkin",0
7,4,5,"brendog2814",6,"bjennings28",0
7,5,7,"rmeernst",9,"JordiCarb",1
7,6,8,"cstoney20",10,"erozier",0
8,1,1,"willmoran",5,"brendog2814",0
8,2,2,"skoeiboy",4,"benditlikebergvall",0
8,3,3,"Flabiano9",9,"JordiCarb",0
8,4,6,"bjennings28",8,"cstoney20",0
8,5,7,"rmeernst",11,"mdropkin",0
8,6,10,"erozier",12,"Noahvillasana17",0
9,1,1,"willmoran",8,"cstoney20",0
9,2,2,"skoeiboy",7,"rmeernst",0
9,3,3,"Flabiano9",5,"brendog2814",0
9,4,4,"benditlikebergvall",10,"erozier",0
9,5,6,"bjennings28",12,"Noahvillasana17",0
9,6,9,"JordiCarb",11,"mdropkin",0
10,1,1,"willmoran",12,"Noahvillasana17",0
10,2,2,"skoeiboy",11,"mdropkin",0
10,3,3,"Flabiano9",9,"JordiCarb",1
10,4,4,"benditlikebergvall",6,"bjennings28",0
10,5,5,"brendog2814",8,"cstoney20",1
10,6,7,"rmeernst",10,"erozier",0
11,1,1,"willmoran",4,"benditlikebergvall",0
11,2,2,"skoeiboy",10,"erozier",0
11,3,3,"Flabiano9",12,"Noahvillasana17",0
11,4,5,"brendog2814",11,"mdropkin",0
11,5,6,"bjennings28",7,"rmeernst",0
11,6,8,"cstoney20",9,"JordiCarb",0
12,1,1,"willmoran",11,"mdropkin",1
12,2,2,"skoeiboy",6,"bjennings28",0
12,3,3,"Flabiano9",10,"erozier",1
12,4,4,"benditlikebergvall",7,"rmeernst",1
12,5,5,"brendog2814",9,"JordiCarb",1
12,6,8,"cstoney20",12,"Noahvillasana17",1
13,1,1,"willmoran",2,"skoeiboy",0
